gw1n2-022,GW1N-UV2QN88C6/I5,GW1N,GW1N-2,QFN88,GW1N-2/QFN88.json
gw1n2-023,GW1N-UV2QN88C5/I4,GW1N,GW1N-2,QFN88,GW1N-2/QFN88.json
gw1n2-024,GW1N-UV2CS72C6/I5,GW1N,GW1N-2,WLCSP72,GW1N-2/WLCSP72.json
gw1n2-025,GW1N-UV2CS72C5/I4,GW1N,GW1N-2,WLCSP72,GW1N-2/WLCSP72.json
gw1n2-026,GW1N-UV2LQ100C6/I5,GW1N,GW1N-2,LQFP100,GW1N-2/LQFP100.json
gw1n2-027,GW1N-UV2LQ100C5/I4,GW1N,GW1N-2,LQFP100,GW1N-2/LQFP100.json
gw1n2-028,GW1N-UV2LQ144C6/I5,GW1N,GW1N-2,LQFP144,GW1N-2/LQFP144.json
gw1n2-029,GW1N-UV2LQ144C5/I4,GW1N,GW1N-2,LQFP144,GW1N-2/LQFP144.json
gw1n2-030,GW1N-UV2MG160C6/I5,GW1N,GW1N-2,MBGA160,GW1N-2/MBGA160.json
gw1n2-031,GW1N-UV2MG160C5/I4,GW1N,GW1N-2,MBGA160,GW1N-2/MBGA160.json
gw1n2-032,GW1N-UV2PG256C6/I5,GW1N,GW1N-2,PBGA256,GW1N-2/PBGA256.json
gw1n2-033,GW1N-UV2PG256C5/I4,GW1N,GW1N-2,PBGA256,GW1N-2/PBGA256.json
gw1n2-034,GW1N-UV2PG256MC6/I5,GW1N,GW1N-2,PBGA256M,GW1N-2/PBGA256M.json
gw1n2-035,GW1N-UV2PG256MC5/I4,GW1N,GW1N-2,PBGA256M,GW1N-2/PBGA256M.json
gw1n2-036,GW1N-LV2QN88A4,GW1N,GW1N-2,QFN88,GW1N-2/QFN88.json
gw1n2-037,GW1N-UV2QN88A4,GW1N,GW1N-2,QFN88,GW1N-2/QFN88.json
gw1n2-038,GW1N-LV2PG256A4,GW1N,GW1N-2,PBGA256,GW1N-2/PBGA256.json
gw1n2-039,GW1N-UV2PG256A4,GW1N,GW1N-2,PBGA256,GW1N-2/PBGA256.json
gw1n2b-000,GW1N-LV2QN32C6/I5,GW1N,GW1N-2B,QFN32,GW1N-2B/QFN32.json
gw1n2b-001,GW1N-LV2QN32C5/I4,GW1N,GW1N-2B,QFN32,GW1N-2B/QFN32.json
gw1n2b-002,GW1N-LV2QN48C6/I5,GW1N,GW1N-2B,QFN48,GW1N-2B/QFN48.json
gw1n2b-003,GW1N-LV2QN48C5/I4,GW1N,GW1N-2B,QFN48,GW1N-2B/QFN48.json
gw1n2b-004,GW1N-LV2QN88C6/I5,GW1N,GW1N-2B,QFN88,GW1N-2B/QFN88.json
gw1n2b-005,GW1N-LV2QN88C5/I4,GW1N,GW1N-2B,QFN88,GW1N-2B/QFN88.json
gw1n2b-006,GW1N-LV2CS72C6/I5,GW1N,GW1N-2B,WLCSP72,GW1N-2B/WLCSP72.json
gw1n2b-007,GW1N-LV2CS72C5/I4,GW1N,GW1N-2B,WLCSP72,GW1N-2B/WLCSP72.json
gw1n2b-008,GW1N-LV2LQ100C6/I5,GW1N,GW1N-2B,LQFP100,GW1N-2B/LQFP100.json
gw1n2b-009,GW1N-LV2LQ100C5/I4,GW1N,GW1N-2B,LQFP100,GW1N-2B/LQFP100.json
gw1n2b-010,GW1N-LV2LQ144C6/I5,GW1N,GW1N-2B,LQFP144,GW1N-2B/LQFP144.json
gw1n2b-011,GW1N-LV2LQ144C5/I4,GW1N,GW1N-2B,LQFP144,GW1N-2B/LQFP144.json
gw1n2b-012,GW1N-LV2MG160C6/I5,GW1N,GW1N-2B,MBGA160,GW1N-2B/MBGA160.json
gw1n2b-013,GW1N-LV2MG160C5/I4,GW1N,GW1N-2B,MBGA160,GW1N-2B/MBGA160.json
gw1n2b-014,GW1N-LV2PG256C6/I5,GW1N,GW1N-2B,PBGA256,GW1N-2B/PBGA256.json
gw1n2b-015,GW1N-LV2PG256C5/I4,GW1N,GW1N-2B,PBGA256,GW1N-2B/PBGA256.json
gw1n2b-016,GW1N-LV2PG256MC6/I5,GW1N,GW1N-2B,PBGA256M,GW1N-2B/PBGA256M.json
gw1n2b-017,GW1N-LV2PG256MC5/I4,GW1N,GW1N-2B,PBGA256M,GW1N-2B/PBGA256M.json
gw1n2b-018,GW1N-UV2QN32C6/I5,GW1N,GW1N-2B,QFN32,GW1N-2B/QFN32.json
gw1n2b-019,GW1N-UV2QN32C5/I4,GW1N,GW1N-2B,QFN32,GW1N-2B/QFN32.json
gw1n2b-020,GW1N-UV2QN48C6/I5,GW1N,GW1N-2B,QFN48,GW1N-2B/QFN48.json
gw1n2b-021,GW1N-UV2QN48C5/I4,GW1N,GW1N-2B,QFN48,GW1N-2B/QFN48.json
gw1n2b-022,GW1N-UV2QN88C6/I5,GW1N,GW1N-2B,QFN88,GW1N-2B/QFN88.json
gw1n2b-023,GW1N-UV2QN88C5/I4,GW1N,GW1N-2B,QFN88,GW1N-2B/QFN88.json
gw1n2b-024,GW1N-UV2CS72C6/I5,GW1N,GW1N-2B,WLCSP72,GW1N-2B/WLCSP72.json
